Day,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.028571428571428574
2,0.0,0.0,8.1,0.0,4.2,0.0,0.0,0.0,0.0,0.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,3.1,0.0,3.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
6,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0
7,12.5,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,4.0,0.0
8,18.9,0.0,0.0,0.0,0.0,0.0,0.0,4.7,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6,0.0,0.0,0.0,10.5,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.6,0.0,0.0,0.0,12.6,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,12.5,0.0,3.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
16,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
17,11.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,15.0,14.2,38.7,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0
18,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
19,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,13.7,0.0,0.0,10.3,0.0,9.5,0.0,0.0,0.3,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,4.1,1.2,0.0,0.0,15.5,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,5.3,0.0,0.0,10.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,10.7,0.0,10.2,0.0,0.0,7.4,24.5,0.0,3.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,8.0,0.0,0.0,0.1,0.0,0.0
27,9.5,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,5.3,0.0,0.0,0.0,5.4,0.0,5.4
28,0.0,2.3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,9.9,7.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,0.0,0.0,60.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,8.2,0.0,5.5,0.0,0.0,6.5,0.0,0.0
31,10.4,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,2.2,0.0,0.0,1.1,0.0,0.0
32,11.5,17.7,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.6,8.5,0.5,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3,0.0,0.0
33,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.9,0.0,0.0,5.4,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,7.3,0.0,3.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,4.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,6.8,50.0,0.0,1.8,2.4,0.0,0.0,1.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,11.1,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,30.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,10.5
39,0.0,36.8,5.8,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,13.2,0.0,0.0,0.0
40,0.0,4.6,0.0,9.5,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,3.2,8.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,2.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,7.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
43,0.0,3.8,0.0,2.1,1.3,15.1,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,15.6,0.0,7.3,0.0,0.0,14.9,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0
44,0.0,1.3,9.0,2.5,0.0,0.0,0.0,9.0,0.0,7.6,0.0,0.0,0.0,5.2,0.0,0.0,35.3,0.0,0.0,0.0,0.0,0.0,12.1,0.0,4.6,0.0,20.3,0.0,0.0,0.0
45,0.0,11.5,0.0,0.0,0.0,0.0,0.0,10.1,0.0,6.0,0.0,0.0,20.9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,20.1,0.0,0.0,0.0
46,0.0,9.0,0.0,0.0,0.0,0.0,0.0,20.3,6.7,11.6,0.0,0.0,10.3,0.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,6.8,0.0,0.0,6.1,0.0,0.0,0.0,0.9,10.3,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,10.4,8.7,2.5,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0
48,9.8,2.3,0.0,0.0,0.0,4.5,0.0,2.5,0.0,7.0,0.0,7.5,0.0,9.6,0.0,0.0,12.0,0.0,8.2,10.0,0.0,0.0,3.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0
49,15.6,0.0,32.5,0.0,0.0,5.7,6.1,0.0,0.0,5.5,0.0,0.0,0.0,6.7,13.9,0.0,0.0,0.0,0.0,6.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,20.5
50,0.0,0.0,0.0,3.0,0.0,6.3,0.0,0.0,29.3,8.4,0.0,0.0,0.0,0.0,2.8,40.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.5,0.0,0.0,2.2,10.4,0.0
51,0.0,2.9,0.0,22.0,0.0,0.0,0.0,1.3,11.0,13.7,24.5,0.0,0.0,5.9,8.8,34.5,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,6.5,0.0,0.0,0.0,0.0,8.1,18.7,20.3,0.0,0.0,0.0,8.2,5.5,20.0,4.3,0.0,12.6,0.0,36.8,36.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,6.5,8.5,2.4,12.0,2.5,0.0,0.0,12.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,37.3,0.0,11.0,0.0,5.5,0.0,0.0,0.0,0.0,40.0
54,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,22.5,0.0,12.7,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,5.4,6.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.1,0.0,14.0,0.0,9.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,16.3,0.0,0.0,0.0,2.3,0.0,6.2,1.4,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,5.5,0.0,30.8,0.0,12.7,20.5,0.0,0.0,7.5,1.2,1.0,0.0,0.0,0.0,12.3,10.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0
57,0.0,0.0,0.0,0.0,3.6,0.0,7.1,1.2,0.0,24.5,0.0,10.7,0.0,10.3,0.0,5.0,10.5,2.9,0.0,3.4,2.2,3.0,0.0,0.0,0.0,0.0,19.5,3.5,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,1.2,11.8,0.0,6.7,0.0,0.0,0.0,0.0,2.3,11.0,0.0,0.0,0.0,5.5,13.0,0.0,0.0,3.1,0.0,0.0,0.0,2.4,0.0,0.0
59,0.0,0.0,8.7,0.0,0.0,0.0,8.4,0.0,0.0,4.3,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,1.3,0.0,1.8,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0
60,0.0,3.3,28.5,0.0,0.0,0.0,2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,14.0,0.0,0.0,0.0
61,0.0,11.0,6.0,0.0,0.0,4.0,1.3,0.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,14.3,5.7,21.4,18.0,0.0,0.0,13.5,0.0,0.0,7.7,0.0,1.7,0.0,0.0,0.0,0.0,6.4,0.0,20.2,0.0
63,29.8,15.5,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,13.8,10.1,0.0,0.0,0.0,15.4,0.0,25.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
64,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,22.5,0.0,0.0
65,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,26.3,8.0,1.3,0.0,8.3,0.0,0.0,12.0,0.0,0.0
66,0.0,9.1,0.0,7.2,2.6,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,6.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.2,0.0,10.5,0.0,0.0,0.0
67,0.0,2.3,0.0,1.5,11.7,0.0,4.4,1.9,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,4.5,1.7,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0
68,0.0,0.0,6.5,0.0,0.0,0.0,4.4,0.0,2.3,21.1,0.0,3.6,0.0,0.0,0.0,9.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,12.1
69,0.0,2.1,0.0,0.0,0.0,8.2,6.1,32.6,0.0,0.0,0.0,14.2,0.0,0.0,0.0,19.7,0.0,5.6,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0
70,0.0,0.0,0.0,3.8,0.0,0.0,10.5,11.3,3.4,8.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0
71,0.0,5.7,0.0,19.2,0.0,0.0,7.1,0.0,17.5,0.0,0.0,0.0,0.0,6.7,11.2,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0
72,0.0,1.2,0.0,40.0,0.0,0.0,6.5,3.8,1.0,0.0,17.4,0.0,0.0,14.4,0.0,5.3,5.3,0.0,0.0,5.0,0.8,8.5,8.3,0.0,0.0,0.0,3.4,0.0,0.0,0.0
73,0.0,0.0,10.9,7.0,0.0,0.0,1.0,27.9,8.5,0.0,0.0,6.0,11.1,0.0,0.0,3.2,0.0,0.0,0.0,3.8,3.4,0.0,5.5,0.0,0.0,0.0,5.2,0.0,0.0,40.1
74,0.0,0.0,0.0,7.3,4.0,0.0,0.9,18.7,2.4,0.0,0.0,4.0,0.0,23.5,0.0,0.0,11.8,0.0,0.0,2.1,36.9,15.9,8.2,0.0,0.0,0.0,0.5,20.0,0.0,0.0
75,21.0,2.1,0.0,0.0,2.2,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.0,19.3,0.0,0.9,0.0,0.0,0.0,2.2,4.9,0.0,5.5,0.0,0.0,0.0,0.0,19.0,0.0,16.0
76,16.8,40.1,0.0,0.0,0.0,4.9,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,8.1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
77,0.0,4.4,0.0,0.0,0.0,17.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,13.0,0.0,0.0,0.0,6.7,0.0,14.2,4.2,0.0,8.3,0.0,0.0,0.0,15.5,0.0
78,0.0,13.9,0.0,0.0,6.0,3.5,5.3,0.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,7.6,0.0,8.3,0.0,0.0,20.1,3.5,12.0,0.0,0.0,3.1,20.6,0.0
79,0.0,5.9,0.0,16.5,4.1,0.0,25.2,21.9,0.0,6.0,7.3,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,7.5,10.4,10.3,0.0,0.0,20.5,0.0,0.0
80,0.0,0.0,0.0,0.0,21.0,0.0,5.0,39.9,8.5,5.5,3.8,0.0,0.0,0.0,13.2,0.0,7.3,4.6,0.0,3.0,1.0,0.0,5.4,0.0,0.0,0.0,0.1625,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,27.0,0.0,0.0,2.2,8.4,7.0,0.0,0.0,9.9,17.5,0.0,0.0,0.0,13.3,0.0,20.4,0.0,1.3,0.0,0.0,0.0,12.2,15.887500000000001,0.0,0.0,0.0
82,30.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,41.2,0.0,4.7,1.5,11.6,0.0,0.0,0.0,0.2,4.057142857142857,0.0,0.0,6.6
